"FacilityID","URL","Name","FacilityType","Address1","Town","State","AddressNote","Latitude","Longitude","Parking","ParkingAccessible","ParkingNote","KeyRequired","MLAK24","MLAKAfterHours","PaymentRequired","AccessNote","AdultChange","ChangingPlaces","BYOSling","ACShower","ACMLAK","AdultChangeNote","BabyChange","BabyCareRoom","BabyChangeNote","DumpPoint","DPWashout","DPAfterHours","DumpPointNote","OpeningHours","OpeningHoursNote","Male","Female","Unisex","AllGender","Ambulant","Accessible","LHTransfer","RHTransfer","ToiletNote","SharpsDisposal","DrinkingWater","SanitaryDisposal","MensPadDisposal","Shower"
"1","https://toiletmap.gov.au/facility/1","Sandy Beach Reserve","Park or reserve","West Road","Bassendean","WA","","-31.92183600","115.95020622","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","True","False","False","False","True"
"2","https://toiletmap.gov.au/facility/2","Point Reserve","Park or reserve","North Road","Bassendean","WA","","-31.90441010","115.96099110","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"3","https://toiletmap.gov.au/facility/3","Success Hill Reserve","Park or reserve","Off Seventh Avenue","Bassendean","WA","","-31.89628865","115.95578101","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","True","True","False","False","True"
"4","https://toiletmap.gov.au/facility/4","Jubilee Reserve","Park or reserve","Robinson Road","Eden Hill","WA","","-31.89147400","115.94016370","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","False","False","False","","True","False","False","False","False"
"5","https://toiletmap.gov.au/facility/5","Ashfield Reserve","Park or reserve","Guildford Road","Ashfield","WA","","-31.91343349","115.93647720","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","False","False","False","","True","False","False","False","False"
"6","https://toiletmap.gov.au/facility/6","BIC Reserve","Park or reserve","BIC Reserve, James Street","Bassendean","WA","","-31.90397769","115.95007065","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"7","https://toiletmap.gov.au/facility/7","Mary Crescent Reserve","Park or reserve","Mary Crescent","Eden Hill","WA","","-31.89036599","115.94808970","True","True","","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: Daylight hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"9","https://toiletmap.gov.au/facility/9","Bassendean Oval 3","Sporting facility","Old Perth Road","Bassendean","WA","","-31.90371581","115.95649020","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: Variable hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"15","https://toiletmap.gov.au/facility/15","Apex Park","Park or reserve","Moranbah Access Road","Moranbah","QLD","","-22.01444418","148.04524183","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"16","https://toiletmap.gov.au/facility/16","Lions Park","Park or reserve","12 Belyando Avenue","Moranbah","QLD","","-21.99934080","148.04397329","True","False","Parking is available on Belyando Avenue, then a short walk into the park to access the toilet","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"17","https://toiletmap.gov.au/facility/17","Parella Street","Park or reserve","Parella Street","Moranbah","QLD","","-22.00015250","148.04861593","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","True"
"18","https://toiletmap.gov.au/facility/18","Nolan Park","Park or reserve","Yeates Street","Moranbah","QLD","","-22.00330089","148.06611840","True","False","On street parking available","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","False","False","True","False","False","False","False","False","","False","False","False","False","False"
"20","https://toiletmap.gov.au/facility/20","Binda Park","Park or reserve","34 Grosvenor Drive","Moranbah","QLD","","-22.00496595","148.03704195","True","False","Parking is available at the other end of the park from Isaac Way, heading towards Goonyella Road","False","False","False","False","","False","False","False","False","False","","True","False","","False","False","False","","OPEN: 24 hours","","False","False","False","False","False","True","False","False","","False","False","False","False","False"
"21","https://toiletmap.gov.au/facility/21","Spring Park","Park or reserve","Samson Street","Clermont","QLD","","-22.83389032","147.62859537","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"22","https://toiletmap.gov.au/facility/22","Lions Park","Park or reserve","Copperfield Road","Clermont","QLD","","-22.83004599","147.62808680","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"23","https://toiletmap.gov.au/facility/23","Drummond Street","Park or reserve","Drummond Street","Clermont","QLD","","-22.81719492","147.64230120","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"24","https://toiletmap.gov.au/facility/24","Centenary Park","Park or reserve","Lime Street","Clermont","QLD","","-22.81908571","147.64473646","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"25","https://toiletmap.gov.au/facility/25","Capella Street","Park or reserve","Capella Street","Clermont","QLD","","-22.82389777","147.64100690","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"26","https://toiletmap.gov.au/facility/26","East Palmerston","Other","2068E Palmerston Highway","East Palmerston","QLD","","-17.60595421","145.84712933","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"28","https://toiletmap.gov.au/facility/28","Fred Drew Park","Park or reserve","Palmerston Drive","Hudson","QLD","","-17.51502477","145.99378730","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"29","https://toiletmap.gov.au/facility/29","Anzac Park","Park or reserve","Edith Street","Innisfail","QLD","","-17.52406506","146.02788570","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"30","https://toiletmap.gov.au/facility/30","Jack Fossey Park","Park or reserve","Benwell Street","Innisfail","QLD","","-17.52355834","146.03253866","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"31","https://toiletmap.gov.au/facility/31","Fitzgerald Park","Park or reserve","70 Fitzgerald Esplanade","Innisfail","QLD","","-17.51994615","146.03116377","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"33","https://toiletmap.gov.au/facility/33","Warrina Lakes","Park or reserve","Emily Street","Innisfail","QLD","","-17.51839405","146.02463370","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 10am-6pm","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"35","https://toiletmap.gov.au/facility/35","Coconuts","Park or reserve","30 The Esplanade","Coconuts","QLD","","-17.50715757","146.06487428","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"36","https://toiletmap.gov.au/facility/36","Flying Fish Point 2","Park or reserve","Esplanade, Scheu Park","Flying Fish Point","QLD","","-17.50206605","146.07629830","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"37","https://toiletmap.gov.au/facility/37","Corso","Other","The Corso","East Innisfail","QLD","","-17.52522468","146.03531806","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"38","https://toiletmap.gov.au/facility/38","Wrights Park","Park or reserve","Sherwood Street","East Innisfail","QLD","","-17.52870492","146.03988200","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"39","https://toiletmap.gov.au/facility/39","Castor Park","Park or reserve","Castor Street","Mourilyan Harbour","QLD","","-17.58434935","146.04044240","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"41","https://toiletmap.gov.au/facility/41","South Johnstone","Park or reserve","Enright Street","South Johnstone","QLD","","-17.59462436","145.99839230","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"42","https://toiletmap.gov.au/facility/42","Mena Creek Road","Park or reserve","Cane Cutter Way","Germantown","QLD","","-17.65462056","145.95673050","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"43","https://toiletmap.gov.au/facility/43","Japoonvale","Other","Innisfail Japoon Rd","Japoonvale","QLD","","-17.72507368","145.93146170","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"44","https://toiletmap.gov.au/facility/44","Sharpe Park","Park or reserve","Polich Road","Germantown","QLD","","-17.66090163","145.96246200","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"47","https://toiletmap.gov.au/facility/47","Kurrimine Beach","Beach","Robert Johnstone Parade","Kurrimine Beach","QLD","","-17.77664389","146.10817360","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"48","https://toiletmap.gov.au/facility/48","Cowley Beach","Beach","Barakaoan Road","Cowley Beach","QLD","","-17.69539499","146.11187069","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"49","https://toiletmap.gov.au/facility/49","Digger Creek","Park or reserve","Bruce Highway","El Arish","QLD","","-17.79569638","146.01076283","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"50","https://toiletmap.gov.au/facility/50","Returned Services League Club","Other","Royston Street","El Arish","QLD","","-17.80691645","146.00447980","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"51","https://toiletmap.gov.au/facility/51","Village Green","Park or reserve","Central Avenue","Mission Beach","QLD","","-17.86919840","146.10673700","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"52","https://toiletmap.gov.au/facility/52","Stinger Net","Car park","Seaview Street","Mission Beach","QLD","","-17.87117800","146.10661880","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"56","https://toiletmap.gov.au/facility/56","Cutten Street","Other","Cutten Street","Bingil Bay","QLD","","-17.83093616","146.09949800","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"57","https://toiletmap.gov.au/facility/57","Camp Area","Camping ground","Bingil Bay Road","Bingil Bay","QLD","","-17.82990204","146.09979340","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"58","https://toiletmap.gov.au/facility/58","Marc Park","Park or reserve","Tully - Mission Beach Road","Mission Beach","QLD","","-17.87259629","146.09225950","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"60","https://toiletmap.gov.au/facility/60","Mourilyan Harbour","Other","Off Johnstone Street","Mourilyan Harbour","QLD","","-17.59892284","146.12556840","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"61","https://toiletmap.gov.au/facility/61","Innisfail Cemetery","Cemetery","Clare Street","Mighell","QLD","","-17.53188869","146.02755358","False","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","","False","False","False","False","False"
"65","https://toiletmap.gov.au/facility/65","Alan Anderson Park","Park or reserve","180 Lawnbrook Road West","Walliston","WA","","-32.00560560","116.08297877","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
"67","https://toiletmap.gov.au/facility/67","Pickering Brook","Other","241 Pickering Brook Road","Pickering Brook","WA","","-32.03479483","116.13183010","True","True","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","True","False","False","Also 1 x Electric BBQ and Picnic Table","False","True","False","False","False"
"68","https://toiletmap.gov.au/facility/68","Kalamunda Bus Station","Bus station","19A Mead Street","Kalamunda","WA","","-31.97400015","116.05742268","True","False","","False","False","False","False","","False","False","False","False","False","","False","False","","False","False","False","","OPEN: 24 hours","","True","True","False","False","False","False","False","False","","False","False","False","False","False"
